position_id,symbol,direction,lot_size,open_price,close_price,open_time,close_time,pnl,commission,swap,status
117,XAUUSD,B,0.59,4166.4,4166.5,2025-11-27 06:23:06,2025-11-27 06:44:51,5.9,0.0,0.0,closed_sl
1349,XAUUSD,B,0.62,4402.3,4411.62,2026-01-05 11:02:07,2026-01-05 11:05:15,577.84,0.0,0.0,closed_sl
1977,XAUUSD,B,0.24,4404.33,4396.02,2026-01-05 12:00:24,2026-01-05 12:03:00,-199.44,0.0,0.0,closed_sl
2007,XAUUSD,B,0.61,4402.3,4405.26,2026-01-05 12:26:56,2026-01-05 13:31:15,180.56,0.0,0.0,closed_sl
2123,XAUUSD,B,0.61,4402.3,4405.46,2026-01-05 14:15:57,2026-01-05 15:43:54,385.52,0.0,0.0,closed_sl
2245,XAUUSD,B,0.61,4420.46,4417.33,2026-01-05 16:22:03,2026-01-05 16:35:08,-190.93,0.0,0.0,closed_sl
2685,XAUUSD,B,0.61,4420.46,4417.27,2026-01-05 21:33:36,2026-01-05 22:06:39,-389.18,0.0,0.0,closed_sl
2833,XAUUSD,B,0.6,4439.83,4446.7,2026-01-06 00:55:00,2026-01-06 01:12:31,412.2,0.0,0.0,closed_sl
4185,XAUUSD,B,0.6,4455.61,4451.17,2026-01-06 09:09:49,2026-01-06 09:15:01,-266.4,0.0,0.0,closed_sl
4648,XAUUSD,B,0.6,4460.09,4452.14,2026-01-06 12:13:20,2026-01-06 12:40:01,-685.2,0.0,0.0,closed_sl
5148,XAUUSD,B,0.59,4455.61,4465.26,2026-01-06 12:45:33,2026-01-06 15:39:34,569.35,0.0,0.0,closed_sl
5453,XAUUSD,B,0.6,4460.09,4461.43,2026-01-06 16:25:25,2026-01-06 17:52:15,429.6,0.0,0.0,closed_sl
5869,XAUUSD,B,0.6,4455.61,4461.43,2026-01-06 21:29:22,2026-01-06 23:22:56,349.2,0.0,0.0,closed_sl
6431,XAUUSD,B,0.6,4475.79,4481.96,2026-01-07 00:33:03,2026-01-07 01:11:16,370.2,0.0,0.0,closed_sl
6441,XAUUSD,B,0.6,4475.79,4481.96,2026-01-07 00:33:03,2026-01-07 01:11:16,370.2,0.0,0.0,closed_sl
9578,XAUUSD,B,0.6,4475.79,4471.35,2026-01-07 13:00:06,2026-01-07 14:05:50,-266.4,0.0,0.0,closed_sl
9431,XAUUSD,S,0.61,4442.76,4450.48,2026-01-07 16:46:06,2026-01-07 16:52:15,-470.92,0.0,0.0,closed_sl
12010,XAUUSD,S,0.58,4441.31,4436.78,2026-01-07 23:06:13,2026-01-07 23:15:26,262.74,0.0,0.0,closed_sl
12025,XAUUSD,S,0.58,4441.31,4436.78,2026-01-07 23:06:13,2026-01-07 23:15:26,262.74,0.0,0.0,closed_sl
13581,XAUUSD,S,0.56,4441.31,4432.69,2026-01-08 01:00:12,2026-01-08 01:22:12,482.72,0.0,0.0,closed_sl
13582,XAUUSD,S,0.56,4441.31,4432.69,2026-01-08 01:00:12,2026-01-08 01:22:12,482.72,0.0,0.0,closed_sl
15395,XAUUSD,S,0.56,4423.58,4424.69,2026-01-08 15:16:33,2026-01-08 15:56:08,-62.16,0.0,0.0,closed_sl
16831,XAUUSD,S,0.56,4423.58,4424.99,2026-01-08 16:00:02,2026-01-08 16:21:15,-78.96,0.0,0.0,closed_sl
16844,XAUUSD,S,0.22,4415.57,4416.86,2026-01-08 22:04:52,2026-01-08 22:25:07,-28.38,0.0,0.0,closed_sl
9999,XAUUSD,B,0.6,4439.68,4444.86,2026-01-09 01:05:57,2026-01-09 01:22:48,310.8,0.0,0.0,closed_sl
20482,XAUUSD,B,0.56,4466.31,4471.83,2026-01-09 06:25:28,2026-01-09 10:14:19,309.12,0.0,-26.99,closed_sl
22157,XAUUSD,B,0.56,4465.31,4457.66,2026-01-09 11:00:32,2026-01-09 11:05:33,-428.4,0.0,0.0,closed_sl
22162,XAUUSD,B,0.56,4466.31,4468.31,2026-01-09 11:46:41,2026-01-09 12:32:57,112.0,0.0,0.0,closed_sl
